"Codigo","Kappa de Cohen","Acuerdo Observado","Acuerdo Esperado","Interpretacion"
"Altaconfiabilidad_Comparaciónterminológica",0,0.971,0.971,"Leve"
"Altaconfiabilidad_Frecuenciadeuso",0,0.971,0.971,"Leve"
"Altaconfiabilidad_Procedenciadelainfo",-0.03,0.941,0.943,"Pobre"
"Altaconfiabilidad_Reputacióndelafuente",0,0.941,0.941,"Leve"
"Bajaconfiabilidad_Elecciónintuitiva",1,1,0.943,"Casi perfecto"
"Bajaconfiabilidad_Origendelainformación",0,0.971,0.971,"Leve"
"Búsquedaprevia-inicial_Búsquedatemática",1,1,0.943,"Casi perfecto"
"Búsquedaprevia-inicial_Búsquedaterminológica",0.634,0.941,0.839,"Sustancial"
"Búsquedaprevia-inicial_Sindocumentaciónprevia",0,0.971,0.971,"Leve"
"Documentaciónterminológica_Revisióndelequivalente",1,1,0.943,"Casi perfecto"
"Estrategiasdebúsquedadeinformación_Operadoresbooleanos",1,1,0.943,"Casi perfecto"
"Etapasdelprocesodedocumentación_Búsquedadetérminos",0,0.912,0.912,"Leve"
"Etapasdelprocesodedocumentación_Documentacióntemática",1,1,0.943,"Casi perfecto"
"Etapasdelprocesodedocumentación_Identificaciónoextraccióndetérminos",0,0.971,0.971,"Leve"
"Etapasdelprocesodedocumentación_Identificarposiblesproblemas",0,0.912,0.912,"Leve"
"Etapasdelprocesodedocumentación_Lecturapreviadeltexto",0.469,0.941,0.889,"Moderado"
"Limitacionesdedocumentación_Desorganizacióndelainformación",0,0.941,0.941,"Leve"
"Limitacionesdedocumentación_Temporal",0.634,0.941,0.839,"Sustancial"
"Noregistro_Asimilacióninmediata",0,0.971,0.971,"Leve"
"Noregistro_Faltadehábito",0.469,0.941,0.889,"Moderado"
"Noregistro_Limitacióntemporal",1,1,0.943,"Casi perfecto"
"Organizacióndebúsquedadeinfo_Paralelo",0.653,0.971,0.915,"Sustancial"
"Organizacióndebúsquedadeinfo_Secuencial",1,1,0.889,"Casi perfecto"
"Percepcióndelproceso_Desorganizado",0,0.941,0.941,"Leve"
"Percepcióndelproceso_Organizado",0,0.971,0.971,"Leve"
"Registro_Desconocimientodelainfo",1,1,0.943,"Casi perfecto"
"Registrodeinformación_Elaboracióndeglosarios",0.469,0.941,0.889,"Moderado"
"Tiposdefuente_Basededatosacadémicos",0.653,0.971,0.915,"Sustancial"
"Tiposdefuente_Diccionariogeneral",1,1,0.943,"Casi perfecto"
"Tiposdefuente_Génerossimilares",0.841,0.971,0.815,"Casi perfecto"
"Tiposdefuente_Glosarios",1,1,0.889,"Casi perfecto"
"Tiposdefuente_Sitiosgubernamentales",1,1,0.943,"Casi perfecto"
"Utilidaddefuentesespecializadas_Adecuaciónterminológica",0,0.971,0.971,"Leve"
"Utilidaddefuentesespecializadas_Comprensiónterminológica",1,1,0.943,"Casi perfecto"
"Utilidaddefuentesespecializadas_Comprensióntextual",0,0.941,0.941,"Leve"
"Utilidaddefuentesespecializadas_Rectificaciónterminológica",1,1,0.943,"Casi perfecto"
"Utilidaddefuentesespecializadas_Verificaciónterminológica",1,1,0.889,"Casi perfecto"
"Valoracióndeladocumentación_Positiva",0.653,0.971,0.915,"Sustancial"
